"","NucCoreID","BioSampleID","N.betalactamase.hits","Gene.hits","Country","Region","Year","TaxSpecies","TaxGenus","TaxFamily","TaxOrder","TaxClass","TaxPhylum","NCBI.host","NCBI.isolation_source","NCBI.env_local_scale","NCBI.collected_by","Contig"
"NZ_CP006985.1","NZ_CP006985.1","SAMN03081520",1,"OXA-50","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NC_022344.1","NC_022344.1","SAMN03081533",2,"OXA-10,IMP-9","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"plasmid"
"NZ_CP007224.1","NZ_CP007224.1","SAMN03081533",1,"OXA-904","missing","missing","missing","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,NA,NA,"chromosome"
"NZ_CP006722.1","NZ_CP006722.1","SAMN03097203",1,"SHV-11","Taiwan","East Asia & Pacific","2002","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens",NA,"not collected",NA,"chromosome"
"NZ_CP004378.1","NZ_CP004378.1","SAMN03097381",1,"OXA-59","Australia","East Asia & Pacific","2006","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria",NA,"soil",NA,NA,"chromosome"
"NZ_CP004380.1","NZ_CP004380.1","SAMN03097397",1,"OXA-57","Thailand","East Asia & Pacific","1993","Burkholderia pseudomallei","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Homo sapiens","Septicemic melioidosis patient blood sample",NA,NA,"chromosome"
"NZ_CP041354.1","NZ_CP041354.1","SAMN03105739",1,"OXA-50","Germany","Europe & Central Asia","2012","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,"urinary tract infection",NA,NA,"chromosome"
"NZ_CP014948.1","NZ_CP014948.1","SAMN03145716",1,"OXA-494","China","East Asia & Pacific","2013","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria",NA,NA,"field",NA,"chromosome"
"NZ_JTEP01000016.1","NZ_JTEP01000016.1","SAMN03160298",1,"KPC-3","US","North America","2012","Enterobacter hormaechei","Enterobacter","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","groin wound",NA,"Walter Reed Army Institute of Research","plasmid"
"NZ_CP010301.1","NZ_CP010301.1","SAMN03216759",1,"OXA-193","Canada","North America","2000","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","not applicable",NA,"Laboratoire Sante Publique de Quebec/Provincial Public Health Laboratory (LSPQ)","chromosome"
"NZ_CP010307.1","NZ_CP010307.1","SAMN03216761",1,"OXA-193","Canada","North America","2000","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","not applicable",NA,"Ontario Provincial Public Health Laboratory","chromosome"
"NZ_CP010072.1","NZ_CP010072.1","SAMN03216762",1,"OXA-193","Canada","North America","2001","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","not applicable",NA,"New Brunswick provincial laboratory","chromosome"
"NZ_CP010472.1","NZ_CP010472.1","SAMN03246003",1,"OXA-447","Finland","Europe & Central Asia","2005","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010465.1","NZ_CP010465.1","SAMN03246004",1,"OXA-447","Finland","Europe & Central Asia","2001","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010487.1","NZ_CP010487.1","SAMN03246006",1,"OXA-447","Finland","Europe & Central Asia","2007","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010461.1","NZ_CP010461.1","SAMN03246007",1,"OXA-447","Finland","Europe & Central Asia","2007","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010502.1","NZ_CP010502.1","SAMN03246008",1,"OXA-447","Finland","Europe & Central Asia","1999","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010481.1","NZ_CP010481.1","SAMN03246009",1,"OXA-447","Finland","Europe & Central Asia","2000","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010467.1","NZ_CP010467.1","SAMN03246010",1,"OXA-447","Finland","Europe & Central Asia","2006","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010470.1","NZ_CP010470.1","SAMN03246011",1,"OXA-447","Finland","Europe & Central Asia","1998","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010496.1","NZ_CP010496.1","SAMN03246012",1,"OXA-447","Finland","Europe & Central Asia","2001","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010497.1","NZ_CP010497.1","SAMN03246013",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010484.1","NZ_CP010484.1","SAMN03246014",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010479.1","NZ_CP010479.1","SAMN03246015",1,"OXA-447","Finland","Europe & Central Asia","2004","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010503.1","NZ_CP010503.1","SAMN03246016",1,"OXA-447","Finland","Europe & Central Asia","2001","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010510.1","NZ_CP010510.1","SAMN03246017",1,"OXA-447","Finland","Europe & Central Asia","2001","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010482.1","NZ_CP010482.1","SAMN03246018",1,"OXA-447","Finland","Europe & Central Asia","2001","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010459.1","NZ_CP010459.1","SAMN03246019",1,"OXA-447","Finland","Europe & Central Asia","2004","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010505.1","NZ_CP010505.1","SAMN03246020",1,"OXA-447","Finland","Europe & Central Asia","2007","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010460.1","NZ_CP010460.1","SAMN03246021",1,"OXA-447","Finland","Europe & Central Asia","2004","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010494.1","NZ_CP010494.1","SAMN03246022",1,"OXA-447","Finland","Europe & Central Asia","2004","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010511.1","NZ_CP010511.1","SAMN03246023",1,"OXA-447","Finland","Europe & Central Asia","2004","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010493.1","NZ_CP010493.1","SAMN03246024",1,"OXA-447","Finland","Europe & Central Asia","2004","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010468.1","NZ_CP010468.1","SAMN03246025",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010475.1","NZ_CP010475.1","SAMN03246026",1,"OXA-447","Finland","Europe & Central Asia","1999","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010507.1","NZ_CP010507.1","SAMN03246027",1,"OXA-447","Finland","Europe & Central Asia","2005","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010504.1","NZ_CP010504.1","SAMN03246028",1,"OXA-447","Finland","Europe & Central Asia","1998","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010485.1","NZ_CP010485.1","SAMN03246029",1,"OXA-447","Finland","Europe & Central Asia","1999","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010488.1","NZ_CP010488.1","SAMN03246030",1,"OXA-447","Finland","Europe & Central Asia","2004","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010464.1","NZ_CP010464.1","SAMN03246031",1,"OXA-447","Finland","Europe & Central Asia","2006","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010486.1","NZ_CP010486.1","SAMN03246032",1,"OXA-447","Finland","Europe & Central Asia","2007","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010462.1","NZ_CP010462.1","SAMN03246033",1,"OXA-447","Finland","Europe & Central Asia","2006","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","blood",NA,NA,"chromosome"
"NZ_CP010471.1","NZ_CP010471.1","SAMN03246034",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010501.1","NZ_CP010501.1","SAMN03246035",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010476.1","NZ_CP010476.1","SAMN03246036",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010463.1","NZ_CP010463.1","SAMN03246037",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010508.1","NZ_CP010508.1","SAMN03246038",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010480.1","NZ_CP010480.1","SAMN03246039",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010469.1","NZ_CP010469.1","SAMN03246040",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010477.1","NZ_CP010477.1","SAMN03246041",1,"OXA-447","Finland","Europe & Central Asia","1999","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010506.1","NZ_CP010506.1","SAMN03246042",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010500.1","NZ_CP010500.1","SAMN03246043",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010491.1","NZ_CP010491.1","SAMN03246044",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010489.1","NZ_CP010489.1","SAMN03246045",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010492.1","NZ_CP010492.1","SAMN03246046",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010490.1","NZ_CP010490.1","SAMN03246047",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010458.1","NZ_CP010458.1","SAMN03246048",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010473.1","NZ_CP010473.1","SAMN03246049",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010483.1","NZ_CP010483.1","SAMN03246050",1,"OXA-447","Finland","Europe & Central Asia","2003","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010474.1","NZ_CP010474.1","SAMN03246051",1,"OXA-447","Finland","Europe & Central Asia","2003","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010498.1","NZ_CP010498.1","SAMN03246052",1,"OXA-447","Finland","Europe & Central Asia","2003","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010495.1","NZ_CP010495.1","SAMN03246053",1,"OXA-447","Finland","Europe & Central Asia","2006","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010457.1","NZ_CP010457.1","SAMN03246054",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010509.1","NZ_CP010509.1","SAMN03246055",1,"OXA-447","Finland","Europe & Central Asia","1996","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010466.1","NZ_CP010466.1","SAMN03246056",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010499.1","NZ_CP010499.1","SAMN03246057",1,"OXA-447","Finland","Europe & Central Asia","2002","Campylobacter jejuni","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Proteobacteria","Homo sapiens","feces",NA,NA,"chromosome"
"NZ_CP010781.1","NZ_CP010781.1","SAMN03248539",1,"OXA-69","UK","Europe & Central Asia","1982","Acinetobacter baumannii","Acinetobacter","Moraxellaceae","Pseudomonadales","Gammaproteobacteria","Proteobacteria","Homo sapiens","unknown",NA,"Nottingham University Hospital","chromosome"
"NZ_CP052761.1","NZ_CP052761.1","SAMN03252408",1,"SHV-11","China","East Asia & Pacific","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood from patient with pneumonia",NA,"Yunsong Yu","chromosome"
"NZ_CP052762.1","NZ_CP052762.1","SAMN03252408",1,"CTX-M-14","China","East Asia & Pacific","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood from patient with pneumonia",NA,"Yunsong Yu","plasmid"
"NZ_CP052763.1","NZ_CP052763.1","SAMN03252408",1,"IMP-4","China","East Asia & Pacific","2013","Klebsiella pneumoniae","Klebsiella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Homo sapiens","blood from patient with pneumonia",NA,"Yunsong Yu","plasmid"
